City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,General Description
0,Ambulu,ID,-8.345,113.6058,86.59,63,13,8.39,few clouds
1,Dunedin,NZ,-45.8742,170.5036,42.8,66,16,4.0,few clouds
2,Beringovskiy,RU,63.05,179.3167,44.4,86,100,22.93,light rain
3,Port Alfred,ZA,-33.5906,26.891,59.77,74,2,3.24,clear sky
4,Kapaa,US,22.0752,-159.319,80.92,72,75,1.99,broken clouds
5,Nyurba,RU,63.2842,118.3319,77.7,40,99,8.81,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.94,81,66,20.62,light rain
7,Vaini,TO,-21.2,-175.2,68.16,83,20,8.05,few clouds
8,Necochea,AR,-38.5473,-58.7368,54.84,82,100,13.04,overcast clouds
9,Muros,ES,42.7762,-9.0603,62.24,96,5,4.9,clear sky
10,Saskylakh,RU,71.9167,114.0833,51.66,68,97,2.51,overcast clouds
11,Tripoli,LY,32.8752,13.1875,87.26,49,0,10.98,clear sky
12,Chapais,CA,49.7834,-74.8492,53.38,98,100,8.16,overcast clouds
13,Kargasok,RU,59.0556,80.8572,77.2,52,95,5.86,overcast clouds
14,Clyde River,CA,70.4692,-68.5914,35.83,93,90,12.66,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,46.81,100,90,1.14,fog
16,Hornepayne,CA,49.2138,-84.7705,44.58,98,60,3.31,broken clouds
17,New Norfolk,AU,-42.7826,147.0587,45.9,71,6,1.99,clear sky
18,Guymon,US,36.6828,-101.4816,75.2,50,1,11.5,clear sky
19,Pacific Grove,US,36.6177,-121.9166,66.81,92,90,1.01,overcast clouds
20,West Wendover,US,40.7391,-114.0733,63.61,42,1,6.91,clear sky
21,Pemangkat,ID,1.1667,108.9667,86.0,69,72,11.14,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,74.66,78,8,7.47,clear sky
23,Albany,US,42.6001,-73.9662,68.67,88,100,2.91,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,56.61,72,100,3.65,overcast clouds
25,Kaitangata,NZ,-46.2817,169.8464,39.76,84,81,8.25,light rain
26,Cidreira,BR,-30.1811,-50.2056,58.84,93,96,11.88,overcast clouds
27,Afua,BR,-0.1567,-50.3867,74.05,91,41,4.12,scattered clouds
28,Faya,SA,18.3851,42.4509,79.32,30,59,10.78,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,100,5.99,overcast clouds
30,Cockburn Town,TC,21.4612,-71.1419,82.27,71,41,14.81,scattered clouds
31,Huilong,CN,31.8111,121.655,87.98,71,1,13.67,clear sky
32,Buala,SB,-8.145,159.5921,81.45,70,97,3.62,overcast clouds
33,Freetown,SL,8.484,-13.2299,74.95,75,100,4.63,overcast clouds
34,Lyuban,BY,52.7985,28.0048,58.82,83,100,11.48,overcast clouds
35,Aklavik,CA,68.2191,-135.0107,40.03,82,100,9.69,overcast clouds
36,Ondangwa,NA,-17.9167,15.95,60.8,33,0,5.75,clear sky
37,Kruisfontein,ZA,-34.0033,24.7314,53.89,78,27,3.98,scattered clouds
38,Qasigiannguit,GL,68.8193,-51.1922,44.85,74,100,9.28,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,38.48,97,100,2.3,overcast clouds
40,Marawi,PH,7.9986,124.2928,81.64,81,100,6.22,light rain
41,Madimba,TZ,-10.4,40.3333,79.14,59,30,5.84,scattered clouds
42,Tuatapere,NZ,-46.1333,167.6833,38.82,84,100,5.53,light rain
43,Ushuaia,AR,-54.8,-68.3,31.66,86,90,13.8,light snow
44,Airai,TL,-8.9266,125.4092,70.83,46,93,4.76,overcast clouds
45,San Patricio,US,28.017,-97.5169,84.85,82,6,10.36,clear sky
46,Shingu,JP,33.7333,135.9833,88.92,87,100,12.35,overcast clouds
47,Nikolskoye,RU,59.7035,30.7861,61.02,88,100,11.12,light rain
48,Victoria,HK,22.2855,114.1577,89.65,81,99,1.01,light rain
49,Redcar,GB,54.6166,-1.06,59.45,81,98,13.69,overcast clouds
50,Lavrentiya,RU,65.5833,-171.0,45.25,75,100,14.85,overcast clouds
51,Jamestown,US,42.097,-79.2353,68.72,95,1,4.21,clear sky
52,Kropotkin,RU,45.4375,40.5756,85.98,45,100,12.41,overcast clouds
53,Garowe,SO,8.4054,48.4845,85.87,36,4,26.22,clear sky
54,Nishihara,JP,26.1842,127.7558,85.66,89,90,20.71,moderate rain
55,Saldanha,ZA,-33.0117,17.9442,44.65,71,28,3.78,scattered clouds
56,La Ronge,CA,55.1001,-105.2842,68.25,83,90,10.36,overcast clouds
57,Tiksi,RU,71.6872,128.8694,50.07,72,100,3.24,overcast clouds
58,Fuyang,CN,32.9,115.8167,86.94,76,97,7.0,overcast clouds
59,Kahului,US,20.8947,-156.47,77.02,85,40,17.27,scattered clouds
60,Kirillov,RU,59.863,38.3813,64.33,86,100,8.1,light rain
61,Muli,MV,2.9167,73.5667,81.97,73,96,17.74,overcast clouds
62,Khromtau,KZ,50.2503,58.4347,76.77,38,91,13.06,overcast clouds
63,Balao,EC,-2.9167,-79.8167,70.27,88,73,3.49,broken clouds
64,Mahebourg,MU,-20.4081,57.7,75.49,60,75,11.5,broken clouds
65,Adrar,MR,20.5022,-10.0711,86.59,41,11,16.71,few clouds
66,Punta Arenas,CL,-53.15,-70.9167,32.11,86,40,13.8,scattered clouds
67,Kuryk,KZ,43.2,51.65,97.59,24,0,12.8,clear sky
68,Magadan,RU,59.5667,150.8,62.42,57,54,7.02,broken clouds
69,Yellowknife,CA,62.456,-114.3525,63.12,72,75,4.61,light rain
70,Bridlington,GB,54.0831,-0.1919,57.38,85,100,16.75,overcast clouds
71,Serik,TR,36.9169,31.0989,86.25,69,78,8.77,broken clouds
72,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,0,5.75,clear sky
73,Souillac,MU,-20.5167,57.5167,75.58,60,75,11.5,broken clouds
74,Nau,TJ,40.1525,69.3686,93.79,18,1,9.19,clear sky
75,Barrow,US,71.2906,-156.7887,35.62,80,90,9.22,overcast clouds
76,Margate,GB,51.3813,1.3862,62.69,76,100,4.0,overcast clouds
77,Vardo,NO,70.3705,31.1107,54.59,82,50,12.48,scattered clouds
78,Bredasdorp,ZA,-34.5322,20.0403,49.32,93,100,5.75,overcast clouds
79,Manuk Mangkaw,PH,4.8,119.85,85.01,71,99,11.39,overcast clouds
80,Torbay,CA,47.6666,-52.7314,69.67,94,75,19.57,light intensity drizzle
81,Kedrovyy,RU,56.1667,91.8167,70.21,52,95,5.26,light rain
82,Guiberoua,CI,6.2392,-6.1727,68.04,97,90,2.1,overcast clouds
83,Ejigbo,NG,7.9,4.3167,70.65,95,100,5.39,light rain
84,Kodiak,US,57.79,-152.4072,54.27,87,86,2.91,overcast clouds
85,Avarua,CK,-21.2078,-159.775,77.05,78,20,13.8,few clouds
86,Alindao,CF,5.0267,21.2088,70.77,98,100,2.13,overcast clouds
87,Castro,BR,-24.7911,-50.0119,53.87,96,99,7.11,overcast clouds
88,Ostrovskoye,RU,57.8057,42.2433,61.23,96,100,9.37,overcast clouds
89,Salalah,OM,17.0151,54.0924,77.09,100,90,10.36,overcast clouds
90,Soyo,AO,-6.1349,12.3689,73.45,82,100,6.78,overcast clouds
91,Hohhot,CN,40.8106,111.6522,88.09,25,0,6.71,clear sky
92,Yenangyaung,MM,20.4667,94.8833,90.61,59,72,15.52,broken clouds
93,Hilo,US,19.7297,-155.09,74.25,94,90,5.75,moderate rain
94,Dikson,RU,73.5069,80.5464,48.2,71,15,11.27,few clouds
95,Thompson,CA,55.7435,-97.8558,55.56,88,20,0.0,smoke
96,Ukiah,US,39.1502,-123.2078,73.02,52,1,0.0,clear sky
97,Yaan,NG,7.3833,8.5667,72.41,96,100,6.91,overcast clouds
98,Teya,RU,60.3778,92.6267,82.51,33,99,3.11,overcast clouds
99,Cambridge,CA,43.3601,-80.3127,69.78,87,75,4.61,broken clouds
100,Butaritari,KI,3.0707,172.7902,83.68,68,15,7.85,few clouds
101,Prince Rupert,CA,54.3161,-130.3201,56.89,97,90,0.0,light rain
102,Yangmei,CN,24.1023,112.5618,89.11,63,100,1.63,light rain
103,Hithadhoo,MV,-0.6,73.0833,82.11,67,82,3.24,broken clouds
104,Busselton,AU,-33.65,115.3333,64.09,80,100,21.14,overcast clouds
105,Chuy,UY,-33.6971,-53.4616,54.46,94,0,6.96,clear sky
106,San Cristobal,VE,7.7669,-72.225,63.23,96,84,2.91,broken clouds
107,Cagliliog,PH,13.9016,123.2913,90.54,59,69,15.39,broken clouds
108,Banda Aceh,ID,5.5577,95.3222,87.31,64,81,14.29,broken clouds
109,Zaysan,KZ,47.4667,84.8667,81.34,25,1,16.44,clear sky
110,Cabo San Lucas,MX,22.8909,-109.9124,83.52,79,62,9.04,broken clouds
111,Posse,BR,-14.0931,-46.3694,61.99,63,100,12.53,overcast clouds
112,Byron Bay,AU,-28.65,153.6167,66.31,58,0,9.26,clear sky
113,Kasongo-Lunda,CD,-6.4667,16.8167,75.76,30,100,1.34,overcast clouds
114,Bozeman,US,45.6796,-111.0386,59.49,77,90,3.0,overcast clouds
115,Carbonia,IT,39.1672,8.5222,81.99,34,0,6.89,clear sky
116,Iskateley,RU,67.6803,53.1512,51.89,78,100,9.8,overcast clouds
117,Blagoyevo,RU,63.3667,47.9167,63.95,45,0,4.9,clear sky
118,Corn Island,NI,12.1694,-83.0418,81.39,80,100,16.35,overcast clouds
119,Aberdeen,GB,57.1437,-2.0981,60.21,98,75,10.36,broken clouds
120,Wyndham,US,37.6985,-77.6125,72.46,89,1,0.0,clear sky
121,Laguna,US,38.421,-121.4238,80.42,53,90,6.91,haze
122,Severo-Kurilsk,RU,50.6789,156.125,54.9,77,100,9.22,overcast clouds
123,Ust-Koksa,RU,50.2696,85.6108,72.54,42,11,1.83,few clouds
124,Palu,ID,-0.8917,119.8707,84.78,79,96,1.95,overcast clouds
125,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,75,11.5,broken clouds
126,Dingle,PH,10.9995,122.6711,90.27,57,77,13.38,broken clouds
127,Saint George,US,37.1041,-113.5841,85.95,13,1,3.0,haze
128,Ballina,AU,-28.8667,153.5667,66.38,59,0,6.91,clear sky
129,Faanui,PF,-16.4833,-151.75,78.8,68,83,9.6,broken clouds
130,Marsabit,KE,2.3284,37.9899,65.37,64,83,19.98,broken clouds
131,Flensburg,DE,54.7833,9.4333,64.51,86,89,8.84,light rain
132,Grindavik,IS,63.8424,-22.4338,52.27,93,75,0.0,broken clouds
133,Kudahuvadhoo,MV,2.6708,72.8944,80.78,74,94,20.89,overcast clouds
134,Geraldton,AU,-28.7667,114.6,72.01,56,75,13.8,light rain
135,Inhambane,MZ,-23.865,35.3833,67.98,88,0,1.61,clear sky
136,Abaza,RU,52.655,90.0928,72.14,57,100,4.38,overcast clouds
137,Houma,US,29.5958,-90.7195,78.01,93,6,0.87,clear sky
138,San Juan,AR,-31.5375,-68.5364,57.78,39,0,4.52,clear sky
139,Lauderhill,US,26.1404,-80.2134,82.99,85,1,0.0,clear sky
140,Chapeco,BR,-27.0964,-52.6183,62.35,77,0,9.22,clear sky
141,Hasaki,JP,35.7333,140.8333,82.8,81,100,8.95,heavy intensity rain
142,Yumen,CN,40.2833,97.2,84.06,17,83,11.36,broken clouds
143,Noshiro,JP,40.2039,140.0242,94.14,67,13,9.62,few clouds
144,Hovd,MN,48.0056,91.6419,68.99,39,100,7.99,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,62.35,43,3,2.86,clear sky
146,Coihaique,CL,-45.5752,-72.0662,35.55,80,90,6.91,light rain
147,Narsaq,GL,60.9167,-46.05,44.82,57,100,6.13,overcast clouds
148,Mbarara,UG,-0.608,30.65,78.01,40,26,6.02,scattered clouds
149,Tuktoyaktuk,CA,69.4541,-133.0374,40.41,84,100,14.2,overcast clouds
150,Portobelo,PA,9.55,-79.65,77.41,87,75,4.14,broken clouds
151,New Ulm,US,44.3125,-94.4605,73.36,87,75,10.36,broken clouds
152,Heubach,DE,48.7927,9.9337,66.16,77,99,4.99,overcast clouds
153,Nirmal,IN,19.1,78.35,88.21,57,95,9.19,overcast clouds
154,Bluff,NZ,-46.6,168.3333,38.8,66,89,12.33,overcast clouds
155,Cabedelo,BR,-6.9811,-34.8339,72.27,83,60,18.97,broken clouds
156,Kavieng,PG,-2.5744,150.7967,84.18,72,15,15.1,light rain
157,Rock Sound,BS,24.9,-76.2,83.07,75,3,13.58,clear sky
158,Khatanga,RU,71.9667,102.5,63.36,40,100,9.8,overcast clouds
159,Norman Wells,CA,65.282,-126.8329,46.44,81,90,13.8,overcast clouds
160,Bela,IN,25.9333,81.9833,90.5,60,100,6.49,overcast clouds
161,Pevek,RU,69.7008,170.3133,45.48,69,0,9.46,clear sky
162,Sao Felix Do Xingu,BR,-6.6447,-51.995,67.28,51,67,2.1,broken clouds
163,Zhigansk,RU,66.7697,123.3711,77.43,31,100,12.66,overcast clouds
164,Rocha,UY,-34.4833,-54.3333,55.33,97,96,6.04,overcast clouds
165,Mogoytuy,RU,51.2833,114.9167,83.82,39,14,16.89,few clouds
166,Cherskiy,RU,68.75,161.3,65.7,51,71,5.23,broken clouds
167,Arraial Do Cabo,BR,-22.9661,-42.0278,66.36,77,100,12.86,overcast clouds
168,Chokurdakh,RU,70.6333,147.9167,62.31,57,12,9.13,few clouds
169,Berlevag,NO,70.8578,29.0864,59.7,67,100,10.54,overcast clouds
170,Tasiilaq,GL,65.6145,-37.6368,42.96,92,100,3.8,overcast clouds
171,Nanortalik,GL,60.1432,-45.2371,45.01,79,100,5.03,overcast clouds
172,Guaruja,BR,-23.9931,-46.2564,68.92,84,93,2.28,overcast clouds
173,Halifax,CA,44.6453,-63.5724,64.53,91,24,1.01,few clouds
174,Reyes,BO,-14.3167,-67.3833,65.14,63,5,2.08,clear sky
175,Praya,CV,14.9215,-23.5087,77.54,83,75,10.36,broken clouds
176,Bandarbeyla,SO,9.4942,50.8122,86.47,47,100,25.34,overcast clouds
177,Phuket,TH,8.0,98.25,88.02,74,20,11.5,few clouds
178,Sulina,RO,45.1559,29.6536,73.0,76,100,19.86,overcast clouds
179,Manokwari,ID,-0.8667,134.0833,81.54,79,100,2.04,overcast clouds
180,Dongsheng,CN,39.8161,109.9776,85.42,20,2,7.92,clear sky
181,Talnakh,RU,69.4865,88.3972,81.63,37,74,7.87,broken clouds
182,Alice Springs,AU,-23.7,133.8833,67.55,19,0,14.97,clear sky
183,Qaanaaq,GL,77.484,-69.3632,37.29,74,19,6.85,few clouds
184,Ilulissat,GL,69.2167,-51.1,44.62,70,100,6.91,overcast clouds
185,Bethel,US,41.3712,-73.414,71.67,86,1,0.0,clear sky
186,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,75,56,9.71,broken clouds
187,Davila,PH,18.4726,120.5763,85.98,88,100,27.94,overcast clouds
188,Honiara,SB,-9.4333,159.95,80.31,77,99,1.12,overcast clouds
189,Van Wert,US,40.8695,-84.5841,72.09,71,40,8.05,scattered clouds
190,Ciro Marina,IT,39.3732,17.126,85.87,58,1,7.67,clear sky
191,Gladstone,AU,-23.85,151.25,69.73,52,0,10.36,clear sky
192,Alta Floresta,BR,-9.8756,-56.0861,67.96,49,21,3.15,few clouds
193,Fortuna,US,40.5982,-124.1573,64.36,74,90,3.0,overcast clouds
194,Kolda,SN,12.8833,-14.95,77.31,94,0,0.0,clear sky
195,Xunchang,CN,28.4543,104.715,83.03,84,100,5.99,overcast clouds
196,Hobart,AU,-42.8794,147.3294,46.26,68,40,1.01,scattered clouds
197,Carnarvon,AU,-24.8667,113.6333,77.07,67,90,23.02,overcast clouds
198,Ribeira Grande,PT,38.5167,-28.7,70.2,64,40,6.91,scattered clouds
199,San Quintin,MX,30.4833,-115.95,67.39,86,5,6.4,clear sky
200,Mairi,BR,-11.7114,-40.1489,62.4,84,93,9.51,overcast clouds
201,Carlagan,PH,14.975,122.0456,91.08,56,100,16.35,overcast clouds
202,Russell,US,32.3502,-85.1999,76.28,90,1,0.0,clear sky
203,Roald,NO,62.5833,6.1333,70.09,43,0,10.36,clear sky
204,Matara,LK,5.9485,80.5353,80.89,84,100,13.04,overcast clouds
205,Te Anau,NZ,-45.4167,167.7167,38.75,93,100,4.32,light rain
206,Camapua,BR,-19.5314,-54.0439,66.0,47,0,4.16,clear sky
207,Flinders,AU,-34.5833,150.8552,63.21,56,0,8.43,clear sky
208,Brenham,US,30.1669,-96.3977,77.41,75,1,3.44,clear sky
209,Samarai,PG,-10.6167,150.6667,77.31,85,100,14.54,overcast clouds
210,Ishigaki,JP,24.3448,124.1572,84.33,89,75,26.46,light intensity shower rain
211,East London,ZA,-33.0153,27.9116,59.94,72,0,6.91,clear sky
212,Olafsvik,IS,64.8945,-23.7142,52.56,84,47,3.53,scattered clouds
213,Altamira,BR,-3.2033,-52.2064,67.3,60,5,1.9,clear sky
214,Rockport,US,28.0206,-97.0544,85.01,86,40,1.01,scattered clouds
215,Cancun,MX,21.1743,-86.8466,82.33,83,40,9.22,scattered clouds
216,Nouakchott,MR,18.0858,-15.9785,78.73,87,2,12.5,clear sky
217,Norsup,VU,-16.0667,167.3833,76.87,78,29,13.29,scattered clouds
218,The Valley,AI,18.217,-63.0578,82.26,75,0,14.99,clear sky
219,Boa Vista,BR,2.8197,-60.6733,75.18,94,0,3.44,clear sky
220,Esperance,AU,-33.8667,121.9,73.24,49,0,12.5,clear sky
221,Shenjiamen,CN,29.9576,122.298,81.59,82,89,15.17,overcast clouds
222,Sarakhs,IR,36.5449,61.1577,101.46,11,0,10.18,clear sky
223,Roma,US,43.2128,-75.4557,72.88,92,20,4.61,few clouds
224,Pokhara,NP,28.2333,83.9833,82.04,72,60,4.41,broken clouds
225,Karratha,AU,-20.7377,116.8463,76.42,39,5,19.91,clear sky
226,Gardner,US,42.5751,-71.9981,66.85,91,1,0.0,clear sky
227,Lagoa,PT,39.05,-27.9833,69.01,69,100,14.63,overcast clouds
228,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,90,9.22,mist
229,Kabare,CD,-2.4683,28.8242,72.12,58,85,1.43,overcast clouds
230,Andilamena,MG,-17.0167,48.5833,65.03,61,0,6.46,clear sky
231,Taoudenni,ML,22.6783,-3.9836,95.83,29,73,16.31,broken clouds
232,Bengkulu,ID,-3.8004,102.2655,85.6,68,30,7.63,scattered clouds
233,Kosh-Agach,RU,50.0,88.6667,63.43,39,100,3.85,overcast clouds
234,Mildura,AU,-34.2,142.15,58.96,58,90,3.44,overcast clouds
235,Hofn,IS,64.2539,-15.2082,53.46,80,96,6.82,light rain
236,Astara,AZ,38.5,48.6667,93.18,35,6,8.1,clear sky
237,Belaya Gora,RU,68.5333,146.4167,67.24,46,45,10.78,scattered clouds
238,Pontianak,ID,-0.0333,109.3333,93.18,55,75,5.75,broken clouds
